Date,Open,High,Low,Close,Volume,Adj Close
2013-12-13,10.65,10.74,10.50,10.69,1365400,10.69
2013-12-12,10.67,10.72,10.51,10.65,1337700,10.65
2013-12-11,10.91,11.08,10.43,10.64,2174300,10.64
2013-12-10,10.81,11.04,10.80,10.93,1620700,10.93
2013-12-09,10.79,10.85,10.72,10.80,1092000,10.80
2013-12-06,10.63,10.78,10.63,10.73,852300,10.73
2013-12-05,10.85,10.87,10.63,10.70,1462500,10.70
2013-12-04,10.78,10.94,10.60,10.89,1599100,10.89
2013-12-03,10.48,10.78,10.27,10.72,1391000,10.72
2013-12-02,10.90,11.07,10.33,10.52,2709600,10.52
2013-11-29,11.38,11.40,11.27,11.33,1221600,11.33
2013-11-28,11.48,11.48,11.31,11.34,1844000,11.34
2013-11-27,11.28,11.39,11.15,11.38,2029400,11.38
2013-11-26,11.04,11.43,11.04,11.27,1850100,11.27
2013-11-25,10.97,11.13,10.83,11.07,1000300,11.07
2013-11-22,11.11,11.15,10.97,10.98,974800,10.98
2013-11-21,11.15,11.20,11.01,11.11,1240900,11.11
2013-11-20,11.16,11.26,11.09,11.20,1199600,11.20
2013-11-19,11.35,11.35,10.98,11.17,1907000,11.17
2013-11-18,10.66,11.48,10.66,11.29,3546500,11.29
2013-11-15,10.50,10.77,10.48,10.66,1483400,10.66
2013-11-14,10.30,10.49,10.24,10.46,869500,10.46
2013-11-13,10.60,10.60,10.27,10.29,873300,10.29
2013-11-12,10.45,10.65,10.40,10.61,1297300,10.61
2013-11-11,10.19,10.37,10.12,10.35,836400,10.35
2013-11-08,10.45,10.45,10.08,10.22,1340800,10.22
2013-11-07,10.71,10.71,10.32,10.46,1867200,10.46
2013-11-06,10.81,10.87,10.70,10.71,1442800,10.71
2013-11-05,10.68,10.87,10.60,10.86,1331800,10.86
2013-11-04,10.65,10.77,10.63,10.68,1231800,10.68
2013-11-01,10.62,10.72,10.54,10.64,2024100,10.64
2013-10-31,10.94,10.97,10.60,10.66,1644600,10.66
2013-10-30,10.98,11.00,10.71,10.93,1929000,10.93
2013-10-29,11.70,11.70,10.59,11.01,2423700,11.01
2013-10-28,11.63,11.77,11.57,11.65,900600,11.65
2013-10-25,11.83,11.86,11.58,11.69,1421800,11.69
2013-10-24,11.80,11.93,11.65,11.78,1575100,11.78
2013-10-23,12.20,12.24,11.66,11.79,2779900,11.79
2013-10-22,12.56,12.56,12.08,12.17,2654900,12.17
2013-10-21,12.04,12.64,12.04,12.52,3291200,12.52
2013-10-18,11.93,12.16,11.93,12.04,1866600,12.04
2013-10-17,12.12,12.28,11.75,11.99,3126600,11.99
2013-10-16,12.61,12.64,11.98,11.99,4112900,11.99
2013-10-15,13.15,13.49,12.71,12.73,5552100,12.73
2013-10-14,12.51,12.84,12.30,12.82,3055500,12.82
2013-10-11,12.68,12.70,12.50,12.58,2236500,12.58
2013-10-10,12.80,12.90,12.50,12.57,2773500,12.57
2013-10-09,12.67,12.95,12.53,12.92,3502600,12.92
2013-10-08,12.85,12.90,12.59,12.67,4108600,12.67
2013-10-07,12.91,12.91,12.91,12.91,000,12.91
2013-10-04,12.91,12.91,12.91,12.91,000,12.91
2013-10-03,12.91,12.91,12.91,12.91,000,12.91
2013-10-02,12.91,12.91,12.91,12.91,000,12.91
2013-10-01,12.91,12.91,12.91,12.91,000,12.91
2013-09-30,12.68,12.92,12.45,12.91,4220200,12.91
2013-09-27,12.29,12.79,12.28,12.70,4842900,12.70
2013-09-26,11.93,12.76,11.75,12.36,6694100,12.36
2013-09-25,12.34,12.34,12.00,12.04,3084200,12.04
2013-09-24,12.00,12.38,11.91,12.35,3829200,12.35
2013-09-23,11.96,12.25,11.95,12.06,2568900,12.06
2013-09-20,11.93,11.93,11.93,11.93,000,11.93
2013-09-18,11.59,11.94,11.58,11.93,1810100,11.93
2013-09-17,11.88,11.90,11.60,11.60,1596300,11.60
2013-09-16,11.83,12.16,11.83,11.91,2482000,11.91
2013-09-13,11.72,11.82,11.54,11.82,1545900,11.82
2013-09-12,11.60,11.82,11.60,11.71,1508800,11.71
2013-09-11,11.92,11.99,11.53,11.65,2186500,11.65
2013-09-10,11.98,12.08,11.72,11.90,3747400,11.90
2013-09-09,12.22,12.28,11.85,11.98,3859700,11.98
